id;nom;ligne;terminus;zone
0161;Le Kremlin-Bicêtre;7;False 2;0
0162;Le Peletier;7;False 0;0
0163;Ledru Rollin;8;False 0;0
0164;Les Gobelins;7;False 0;0
0165;Les Halles;4;False 0;0
0166;Les Sablons;1;False 0;0
0167;Liberté;8;False 0;0
0168;Liège;13;False 0;0
0169;Louis Blanc;7;False 0;0
0170;Louis Blanc;7bis;True 0;0
0171;Louise Michel;3;False 0;0
0172;Lourmel;8;False 0;0
0173;Louvre, Rivoli;1;False 0;0
0174;Mabillon;10;False 0;0
0175;Madeleine;12;False 0;0
0176;Madeleine;14;True 0;0
0177;Madeleine;8;False 0;0
0178;Mairie d'Issy;12;True 0;0
0179;Mairie d'Ivry;7;True 1;0
0180;Mairie de Clichy;13;False 2;0
0181;Mairie de Montreuil;9;True 0;0
0182;Mairie de Saint-Ouen;13;False 1;0
0183;Mairie des Lilas;11;True 0;0
0184;Maison Blanche;7;False 0;0
0185;Maisons-Alfort les Juilliottes;8;False 0;0
0186;Maisons-Alfort, Stade;8;False 0;0
0187;Malakoff-Plateau de Vanves;13;False 0;0
0188;Malakoff-Rue Étienne Dolet;13;False 0;0
0189;Malesherbes;3;False 0;0
0190;Maraîchers;9;False 0;0
0191;Marcadet Poissonniers;12;False 0;0
0192;Marcadet Poissonniers;4;False 0;0
0193;Marcel Sembat;9;False 0;0
0194;Marx Dormoy;12;False 0;0
0195;Maubert Mutualité;10;False 0;0
0196;Michel Ange Auteuil;10;False 0;0
0197;Michel Ange Auteuil;9;False 0;0
0198;Michel Ange Molitor;10;False 0;0
0199;Michel Ange Molitor;9;False 0;0
0200;Michel Bizot;8;False 0;0
0201;Mirabeau;10;False 0;0
0202;Miromesnil;13;False 0;0
0203;Miromesnil;9;False 0;0
0204;Monceau;2;False 0;0
0205;Montgallet;8;False 0;0
0206;Montparnasse Bienvenue;12;False 0;0
0207;Montparnasse Bienvenue;13;False 0;0
0208;Montparnasse Bienvenue;4;False 0;0
0209;Montparnasse Bienvenue;6;False  0;0
0210;Mouton-Duvernet;4;False 0;0
0211;Ménilmontant;2;False 0;0
0212;Nation;1;False 0;0
0213;Nation;2;True 0;0
0214;Nation;6;True 0;0
0215;Nation;9;False 0;0
0216;Nationale;6;False 0;0
0217;Notre Dame de Lorette;12;False 0;0
0218;Notre-Dame-des-Champs;12;False 0;0
0219;Oberkampf;5;False 0;0
0220;Oberkampf;9;False 0;0
0221;Odéon;10;False 0;0
0222;Odéon;4;False 0;0
0223;Opéra;3;False 0;0
0224;Opéra;7;False 0;0
0225;Opéra;8;False 0;0
0226;Ourcq;5;False 0;0
0227;Palais Royal, Musée du Louvre;1;False 0;0
0228;Palais Royal, Musée du Louvre;7;False 0;0
0229;Parmentier;3;False 0;0
0230;Passy;6;False 0;0
0231;Pasteur;12;False 0;0
0232;Pasteur;6;False 0;0
0233;Pelleport;3bis;False 0;0
0234;Pernety;13;False 0;0
0235;Philippe-Auguste;2;False 0;0
0236;Picpus;6;False 0;0
0237;Pierre Curie;7;False 1;0
0238;Pigalle;12;False 0;0
0239;Pigalle;2;False 0;0
0240;Place Balard;8;True 0;0
0241;Place Monge;7;False 0;0
0242;Place d'Italie;5;True 0;0
0243;Place d'Italie;6;False 0;0
0244;Place d'Italie;7;False 0;0
0245;Place de Clichy;13;False 0;0
0246;Place de Clichy;2;False 0;0
0247;Place des Fêtes;11;False 0;0
0248;Place des Fêtes;7bis;False 0;0
0249;Plaisance;13;False 0;0
0250;Poissonnière;7;False 0;0
0251;Pont de Levallois, Bécon;3;True 0;0
0252;Pont de Neuilly;1;False 0;0
0253;Pont de Sèvres;9;True 0;0
0254;Pont-Marie;7;False 0;0
0255;Pont-Neuf;7;False 0;0
0256;Porte Dauphine;2;True 0;0
0257;Porte Dorée;8;False 0;0
0258;Porte Maillot;1;False 0;0
0259;Porte d'Auteuil;10;False 0;0
0260;Porte d'Italie;7;False 1;0
0261;Porte d'Ivry;7;False 1;0
0262;Porte d'Orléans;4;True 0;0
0263;Porte de Bagnolet;3;False 0;0
0264;Porte de Champerret;3;False 0;0
0265;Porte de Charenton;8;False 0;0
0266;Porte de Choisy;7;False 1;0
0267;Porte de Clichy;13;False 2;0
0268;Porte de Clignancourt;4;True 0;0
0269;Porte de Montreuil;9;False 0;0
0270;Porte de Pantin;5;False 0;0
0271;Porte de Saint-Cloud;9;False 0;0
0272;Porte de Saint-Ouen;13;False 1;0
0273;Porte de Vanves;13;False 0;0
0274;Porte de Versailles;12;False 0;0
0275;Porte de Vincennes;1;False 0;0
0276;Porte de la Chapelle;12;True 0;0
0277;Porte de la Villette;7;False 0;0
0278;Porte des Lilas;11;False 0;0
0279;Porte des Lilas;3bis;True 0;0
0280;Pré-Saint-Gervais;7bis;True 0;0
0281;Pyramides;14;False 0;0
0282;Pyramides;7;False 0;0
0283;Pyrénées;11;False 0;0
0284;Père Lachaise;2;False 0;0
0285;Père Lachaise;3;False 0;0
0286;Péreire;3;False 0;0
0287;Quai de la Gare;6;False 0;0
0288;Quai de la Rapée;5;False 0;0
0289;Quatre Septembre;3;False 0;0
0290;Rambuteau;11;False 0;0
0291;Ranelagh;9;False 0;0
0292;Raspail;4;False 0;0
0293;Raspail;6;False 0;0
0294;Rennes;12;False 0;0
0295;Reuilly Diderot;1;False 0;0
0296;Reuilly Diderot;8;False 0;0
0297;Richard Lenoir;5;False 0;0
0298;Richelieu Drouot;8;False 0;0
0299;Richelieu Drouot;9;False 0;0
0300;Riquet;7;False 0;0
0301;Robespierre;9;False 0;0
0302;Rome;2;False 0;0
0303;Rue Montmartre, Grands Boulevards;8;False 0;0
0304;Rue Montmartre, Grands Boulevards;9;False 0;0
0305;Rue Saint-Maur;3;False 0;0
0306;Rue de la Pompe;9;False 0;0
0307;Rue des Boulets;9;False 0;0
